docs_id,doc_code,projection_apa,res_fields,dbases,if_info,scopus_info,pub_year
23042893,S1,"Vaitkus, A., Čygas, D., Jasiūnienė, V., Jateikienė, L., Andriejauskas, T., Skrodenis, D., & Ratkevičiūtė, K. (2017). Traffic calming measures: an evaluation of the effect on driving speed. <i><i>Promet – Traffic&Transportation</i></i>, <i>29</i>(3), 275-285. doi:<a target=""_blank"" href=""https://doi.org/10.7307/ptt.v29i3.2265"">10.7307/ptt.v29i3.2265</a>",T 002,GEOBASE; Scopus; FLUIDEX; Science Citation Index Expanded (Web of Science),"IF: 0,456, AIF: 2,525, Q4 (2017, InCites JCR SCIE)","CiteScore: 0,63, SNIP: 0,727, SJR: 0,225, Q3 (2017, Scopus Sources)",2017
23044005,S4,"Skvarciany, V. (2017). Factors influencing private customers′ trust in internet banking: case of Latvia. <i><i>Economics and culture</i></i>, <i>14</i>(1), 50-57. doi:<a target=""_blank"" href=""https://doi.org/10.1515/jec-2017-0005"">10.1515/jec-2017-0005</a>",S 004,EconLit; RePec; J-Gate,,,2017
23046599,S1,"Drejerienė, E., & Drejeris, R. (2017). Systematic approach to a new service ideas conceptualisation: quantitative decision making. <i><i>Inžinerinė ekonomika = Engineering economics</i></i>, <i>28</i>(3), 323-333. doi:<a target=""_blank"" href=""https://doi.org/10.5755/j01.ee.28.3.14752"">10.5755/j01.ee.28.3.14752</a>",M 001; S 003,Scopus; Social Sciences Citation Index (Web of Science); Business Source Complete,"IF: 0,709, AIF: 1,766, Q3 (2017, InCites JCR SSCI)","CiteScore: 0,94, SNIP: 0,585, SJR: 0,341, Q2 (2017, Scopus Sources)",2017
23052871,S1,"Kačianauskas, R., Maknickas, A., & Vainorius, D. (2017). DEM analysis of acoustic wake agglomeration for mono-sized microparticles in the presence of gravitational effects. <i><i>Granular matter</i></i>, <i>19</i>(3), 1-12. doi:<a target=""_blank"" href=""https://doi.org/10.1007/s10035-017-0726-5"">10.1007/s10035-017-0726-5</a>",T 009,Scopus; SpringerLink; Science Citation Index Expanded (Web of Science),"IF: 1,658, AIF: 3,729, Q3 (2017, InCites JCR SCIE)","CiteScore: 2,38, SNIP: 1,611, SJR: 0,789, Q1 (2017, Scopus Sources)",2017
23053721,S1,"Pravilonis, T., Sokolovskij, E., & Surblys, V. (2017). The analysis of deformations of the frame in a basic minibus and a low floor minibus. <i><i>Mechanika</i></i>, <i>23</i>(3), 365-369. doi:<a target=""_blank"" href=""https://doi.org/10.5755/j01.mech.23.3.14480"">10.5755/j01.mech.23.3.14480</a>",T 003,Academic Search Complete; Scopus; FLUIDEX; INSPEC; Science Citation Index Expanded (Web of Science),"IF: 0,529, AIF: 2,663, Q4 (2017, InCites JCR SCIE)","CiteScore: 0,51, SNIP: 0,652, SJR: 0,186, Q4 (2017, Scopus Sources)",2017
23055039,S1,"Kačerauskas, T., & Šaparauskas, J. (2017). Educational choice regarding technical education: research with case study. <i><i>Eurasia journal of mathematics, science and technology education</i></i>, <i>13</i>(7), 3501-3518. doi:<a target=""_blank"" href=""https://doi.org/10.12973/eurasia.2017.00741a"">10.12973/eurasia.2017.00741a</a>",S 007; H 001,Scopus; Social Sciences Citation Index (Web of Science),,"CiteScore: 1,40, SNIP: 1,840, SJR: 0,424, Q1 (2017, Scopus Sources)",2017
23065900,S1,"Augutis, S. V., Balčiūnas, G., & Kerienė, J. R. (2017). Method for the measurement of the stratification of concentrated suspensions. <i><i>Measurement</i></i>, <i>106</i>, 101-108. doi:<a target=""_blank"" href=""https://doi.org/10.1016/j.measurement.2017.04.036"">10.1016/j.measurement.2017.04.036</a>",T 010; T 008,Scopus; ScienceDirect; Science Citation Index Expanded (Web of Science),"IF: 2,218, AIF: 2,311, Q2 (2017, InCites JCR SCIE)","CiteScore: 2,62, SNIP: 1,563, SJR: 0,733, Q1 (2017, Scopus Sources)",2017
23066572,S4,"Samalavičius, A. L. (2017). Vilnius Versailles: Sic Transit Gloria Mundi. <i><i>Lituanus: the Lithuanian quartely</i></i>, <i>63</i>(2), 39-62. Retrieved 2017, July 05, from <a target=""_blank"" href=""http://www.lituanus.org/2017/17_2_03Samalavicius.html"">http://www.lituanus.org/2017/17_2_03Samalavicius.html</a>",H 003,MLA; ABC-CLIO Historical abstracts,,,2017
23071160,S1,"Golubevas, R., Žarkov, A., Alinauskas, L., Stankevičiūtė, Ž., Balčiūnas, G., Garškaitė, E., & Kareiva, A. (2017). Fabrication and investigation of high-quality glass-ceramic (GC)–polymethyl methacrylate (PMMA) composite for regenerative medicine. <i><i>RSC advances</i></i>, <i>7</i>(53), 33558-33567. doi:<a target=""_blank"" href=""https://doi.org/10.1039/c7ra05188c"">10.1039/c7ra05188c</a>",T 008; T 005; N 003,Current Contents; Scopus; Compendex; Science Citation Index Expanded (Web of Science),"IF: 2,936, AIF: 5,561, Q2 (2017, InCites JCR SCIE)","CiteScore: 3,01, SNIP: 0,737, SJR: 0,863, Q1 (2017, Scopus Sources)",2017
23071413,S1,"Morkvėnaitė-Vilkončienė, I., Ramanavičienė, A., Genys, P., & Ramanavičius, A. (2017). Evaluation of enzymatic kinetics of GOx-based electrodes by scanning electrochemical microscopy at redox competition mode. <i><i>Electroanalysis</i></i>, <i>29</i>(6), 1532-1542. doi:<a target=""_blank"" href=""https://doi.org/10.1002/elan.201700022"">10.1002/elan.201700022</a>",N 004; N 003,Scopus; Chimica; BIOSIS Previews; Science Citation Index Expanded (Web of Science); Academic Search Premier,"IF: 2,851, AIF: 3,884, Q2 (2017, InCites JCR SCIE)","CiteScore: 2,66, SNIP: 0,650, SJR: 0,692, Q2 (2017, Scopus Sources)",2017
