source,type,target,weight
115,undirected,1938,4
115,undirected,2574,1
115,undirected,2617,3
115,undirected,2791,2
115,undirected,4364,2
115,undirected,4846,2
115,undirected,4893,1
115,undirected,4943,1
115,undirected,4977,1
115,undirected,5333,1
116,undirected,359,1
116,undirected,3988,1
118,undirected,4957,1
119,undirected,2834,1
119,undirected,3599,1
119,undirected,3651,1
119,undirected,4155,1
119,undirected,5227,1
119,undirected,5287,1
122,undirected,163,1
122,undirected,1134,1
122,undirected,5362,1
123,undirected,315,1
123,undirected,823,1
123,undirected,3791,1
124,undirected,823,1
124,undirected,3791,1
125,undirected,768,1
125,undirected,2111,1
125,undirected,2130,1
125,undirected,4931,1
126,undirected,163,16
126,undirected,1124,1
126,undirected,1169,1
126,undirected,1307,1
126,undirected,1316,15
126,undirected,1391,1
126,undirected,1570,1
126,undirected,2119,7
126,undirected,4057,2
126,undirected,4145,1
126,undirected,4776,2
126,undirected,4931,11
126,undirected,5431,20
127,undirected,183,1
127,undirected,398,1
127,undirected,409,2
127,undirected,1391,2
127,undirected,1545,9
127,undirected,1660,1
127,undirected,1803,1
127,undirected,2968,1
127,undirected,3874,12
127,undirected,3910,1
127,undirected,4606,1
127,undirected,4781,1
127,undirected,4931,3
127,undirected,5431,13
128,undirected,1607,1
128,undirected,5078,1
129,undirected,1107,1
129,undirected,3145,1
129,undirected,4257,1
129,undirected,4330,1
130,undirected,1602,1
130,undirected,3145,1
130,undirected,3376,1
130,undirected,4938,1
131,undirected,995,2
131,undirected,1197,1
131,undirected,1917,1
131,undirected,2094,3
131,undirected,3304,5
131,undirected,4315,1
131,undirected,4421,5
131,undirected,4917,2
131,undirected,5429,1
131,undirected,5488,1
133,undirected,193,1
133,undirected,751,2
133,undirected,1393,2
133,undirected,2678,2
133,undirected,3457,1
133,undirected,4323,1
133,undirected,4742,1
133,undirected,4746,2
133,undirected,5410,1
134,undirected,193,1
134,undirected,751,1
134,undirected,1393,1
134,undirected,2405,1
134,undirected,2678,1
134,undirected,3221,1
134,undirected,3225,1
134,undirected,3443,1
134,undirected,3942,1
134,undirected,4746,1
135,undirected,136,1
135,undirected,521,1
135,undirected,4562,1
136,undirected,521,3
136,undirected,1650,1
136,undirected,4562,3
137,undirected,672,1
137,undirected,805,1
137,undirected,1049,1
137,undirected,1806,2
137,undirected,1900,1
137,undirected,2193,1
137,undirected,2333,2
137,undirected,2415,2
137,undirected,3233,1
137,undirected,3271,1
137,undirected,3469,1
137,undirected,3478,1
137,undirected,3836,1
137,undirected,3894,2
137,undirected,4267,1
137,undirected,4352,1
137,undirected,5304,1
137,undirected,5550,1
138,undirected,179,1
138,undirected,1415,1
138,undirected,1862,1
138,undirected,2380,1
140,undirected,1409,1
140,undirected,1417,1
140,undirected,5052,1
141,undirected,857,1
141,undirected,858,3
141,undirected,1161,2
141,undirected,1663,2
141,undirected,1765,3
141,undirected,1780,3
141,undirected,2518,1
141,undirected,3856,1
141,undirected,4250,2
141,undirected,4415,4
141,undirected,4674,1
141,undirected,5052,10
141,undirected,5290,5
141,undirected,5469,1
141,undirected,5508,1
143,undirected,605,1
143,undirected,1226,2
143,undirected,1455,1
143,undirected,2894,1
143,undirected,3576,1
143,undirected,3673,1
143,undirected,4165,1
143,undirected,4966,1
143,undirected,4999,1
143,undirected,5170,1
144,undirected,285,1
144,undirected,3065,1
144,undirected,3827,1
144,undirected,3828,1
144,undirected,4630,1
145,undirected,4349,1
146,undirected,447,2
146,undirected,2090,1
146,undirected,4357,1
147,undirected,1586,1
147,undirected,2209,1
147,undirected,2360,1
147,undirected,3193,1
147,undirected,3809,1
147,undirected,4476,1
147,undirected,4859,1
147,undirected,4938,4
148,undirected,2980,1
149,undirected,303,1
149,undirected,2837,1
150,undirected,4750,1
152,undirected,527,5
152,undirected,528,1
152,undirected,905,1
152,undirected,1037,1
152,undirected,1099,7
152,undirected,1214,1
152,undirected,1476,1
152,undirected,1673,2
152,undirected,1724,1
152,undirected,1736,1
152,undirected,1896,5
152,undirected,2559,2
